une	2.0000	1.3846	1.0
abandon	1.0000	2.3750	2.4
abandonné	1.1429	2.1000	3.0
abandon	1.0000	2.0000	1.4
diminué	1.6667	1.3333	1.2
capacités	2.5000	2.1111	2.2
capacité	2.5714	2.5000	2.4
capable	2.2000	1.6250	2.0
anormal	1.0000	2.0000	2.4
une planche	1.8000	1.8750	2.8
abolition	1.5000	2.1818	1.6
avortement	1.0000	2.7273	2.6
sur	1.7143	1.3000	1.4
au dessus	2.2000	1.2500	2.4
à l'étranger	2.6000	1.7500	2.2
brusque	1.2857	2.3000	2.4
brusquement	1.1429	2.2000	2.2
abcès	1.1250	1.5455	2.0
absence	1.5000	1.5556	2.6
absent	1.0000	1.3000	2.0
absolu	1.6667	1.4444	1.6
absolument	1.6000	1.5000	1.8
absorber	1.8000	1.7500	2.2
absorbé	1.4000	1.6250	2.0
absorption	1.7778	1.6667	1.6
abstrait	1.6667	1.4444	1.8
abstraction	1.4286	1.4000	1.6
absurde	1.0000	1.5000	2.2
abondance	2.6667	1.5556	3.0
abuser de	1.4286	2.5000	3.0
agresseurs	1.2500	2.7273	2.6
abuser	1.2500	2.8182	2.6
abusive	1.6667	2.6667	2.4
butoyer	1.7143	1.4000	1.2
académique	1.8000	1.5000	2.6
académie	2.0000	1.6250	3.0
accéléré	2.1667	2.4444	3.0
accélération	2.2857	2.5000	2.4
acceptez	2.4444	1.5000	1.8
acceptable	1.8889	1.5000	1.4
acceptation	2.5000	1.4286	1.6
accepté	1.6667	1.3333	1.8
acceptant	1.5000	1.2857	2.0
accès	2.4545	1.9231	2.4
accident	1.0000	2.3750	3.0
accommoder	2.0000	1.7143	2.4
accompagné	2.1429	2.2000	2.4
accompagnement	1.8333	2.1111	2.0
accomplir	2.7500	2.3636	2.0
accompli	2.7143	2.4000	2.0
accomplissements	2.6250	2.2727	2.4
conformité	2.0000	1.5556	1.6
selon	1.6667	1.6667	1.2
en conséquence	1.8000	1.3750	1.4
compte	1.6000	1.5000	1.8
comptabilité	1.5000	2.0000	2.4
comptes	1.5556	1.7500	2.2
accumulé	1.8571	2.1000	2.4
accumulation	2.1429	1.6000	2.2
précision	2.6250	2.0000	1.8
précis	2.5714	2.1000	2.2
avec précision	2.5000	1.7273	1.6
accuse	1.0000	2.2222	2.4
accusé	1.0000	1.7143	2.4
habitué	2.1667	1.1111	1.8
as	3.0000	1.2857	2.6
aced	2.7500	2.1429	2.2
atteindre	2.8889	2.8333	2.0
atteint	2.7143	2.8000	2.0
réussite	2.7500	2.7143	2.2
réalisations	2.5000	2.7273	2.0
réalisation	2.8000	2.6250	1.6
achy	1.0000	2.3000	2.6
acide	1.2500	2.0000	3.0
reconnaître	1.8000	1.2500	2.4
reconnu	2.1429	1.5000	2.2
connaissance	2.2000	1.5000	2.2
acquérir	2.2000	1.6250	2.8
acquis	1.7500	1.7143	2.6
acquérir	2.1818	2.0714	2.0
acquisition	1.8333	1.6667	2.0
superficie	1.6667	1.3333	2.2
acres	2.0000	1.5455	3.0
à travers	2.0000	1.6250	2.2
acte	1.7143	2.4000	3.0
a agi	1.4000	2.0000	2.0
agissant	1.7500	2.4545	3.0
action	2.0000	2.8889	2.6
actions	2.3333	2.9167	2.2
active	2.4000	2.6250	3.0
activement	2.4286	2.4000	2.0
activiste	2.2000	2.3750	2.6
activités	2.3333	2.4167	2.6
activité	2.6667	2.4444	2.8
acteur	2.4000	2.0000	3.0
acteurs	2.1000	2.3077	2.0
acteurs	1.8333	2.3333	2.6
actes	2.1667	2.4444	2.2
réel	2.0000	1.2500	1.6
réellement	1.6667	1.4444	1.6
aigu	1.3000	1.8462	2.4
à	2.1667	1.4444	2.6
adaptation	1.5714	2.2000	2.2
adapté	2.0000	2.0000	2.2
ajouter	2.0000	1.7778	1.8
ajoutée	2.0000	1.6667	2.0
ajouter	2.1429	1.9000	2.0
une addition	1.6000	1.3750	2.4
supplémentaire	1.8333	1.4444	1.6
pourri	1.8000	1.3750	1.2
adresse	1.8750	1.6364	2.8
adressé	1.8750	1.6364	1.8
adresses	1.7143	1.4000	2.0
ajoute	2.2000	1.5000	2.2
adéquat	2.2000	1.5000	1.6
adéquatement	2.0000	1.6000	1.4
adjacent	1.7143	1.4000	2.4
attenant	1.8750	1.6364	2.2
régler	1.8333	1.8889	1.6
ajusté	2.2857	1.8000	2.2
ajustement	1.5000	1.7778	2.2
ajustement	1.6000	2.0000	2.0
ajustements	1.6000	1.8750	2.2
administré	1.2000	1.6250	2.0
administration	1.8889	1.8333	2.2
administrative	1.5000	1.5556	1.6
administrateur	1.2857	1.7000	2.4
admirable	2.7778	1.6667	2.8
admiration	2.5000	1.7778	1.8
admire	1.9000	1.6000	2.8
admiré	2.7500	1.8182	2.2
admission	2.0000	1.6364	2.0
admettre	1.6667	1.6667	2.4
admis	2.0000	2.0000	2.0
adolescence	1.8000	1.8750	2.8
adolescent	1.4000	2.0000	2.6
adopter	1.8333	2.5556	2.2
adopté	1.7143	2.5000	2.2
adoptant	2.1111	2.7500	2.0
adoption	1.6667	2.2500	2.2
adorer	2.7500	2.1429	1.6
adrénaline	2.3333	2.6667	2.2
les publicités	2.2500	1.1429	2.0
adulte	2.4000	2.0769	2.8
adultes	1.8000	1.8750	2.6
avance	2.2500	1.7143	2.0
avancée	2.4286	1.7000	2.0
avancement	2.3333	1.7778	1.6
avances	2.5000	2.1818	2.4
avantage	2.5714	2.1000	2.2
avantages	2.5000	2.0909	1.6
aventure	2.8333	3.0000	2.6
aventures	2.6667	2.8333	2.4
négatif	1.4000	1.6250	1.2
la publicité	2.0000	2.0000	2.8
conseil	2.5000	1.9091	2.4
conseiller	2.3333	1.5833	2.4
informé	2.0000	2.1000	2.0
conseiller	2.0000	1.6000	2.2
conseillers	2.0000	1.7273	2.4
consultatif	1.5714	1.7000	1.2
avocat	2.2500	2.0000	1.8
esthétique	2.1667	1.3333	1.2
affaire	1.2500	2.2857	2.4
affaires	1.1667	2.3333	2.4
affecter	1.7500	1.8571	1.6
affecté	2.0000	1.5714	1.8
affection	2.7778	2.2500	2.0
affecte	2.0000	1.9000	1.4
affirmer	2.0000	1.8571	1.6
apposé	1.7143	1.4000	1.4
affliction	1.4000	1.6250	1.6
offrir	2.3750	1.9091	1.8
offert	1.7500	1.7143	1.8
peur	1.0000	2.3750	2.6
afrique	2.1429	1.6000	3.0
africain	2.0000	1.3750	3.0
après	1.8000	1.2500	1.4
après pensée	1.7500	1.4286	1.4
après midi	2.4545	1.4286	2.8
les après-midi	2.3333	1.5556	2.8
après	2.1667	1.3333	1.4
ensuite	1.8750	1.3636	1.4
encore	1.8000	1.5000	1.4
contre	1.1429	1.3000	2.0
âge	1.8000	1.8750	2.0
vieilli	1.5000	1.7273	2.2
agences	1.8333	1.5556	2.0
agence	1.7500	1.8182	2.2
agent	1.6000	1.2500	2.8
agents	1.4286	1.4000	2.2
âge	1.6000	1.6250	1.2
aggraver	1.1111	2.4167	2.0
aggravant	1.0000	2.2222	2.0
agression	1.0000	2.2500	1.6
agressif	1.2000	2.6923	2.2
atterré	1.0000	1.7778	1.2
agité	1.3333	2.2222	2.2
depuis	1.6000	1.1429	1.0
se mettre d'accord	2.6667	1.8889	2.0
agréable	2.7000	2.0769	2.0
d'accord	2.6667	1.7778	1.2
accord	2.5714	2.0000	2.4
les accords	2.1667	1.6667	2.0
accepte	2.4000	1.6250	1.6
agricole	1.8000	1.2500	1.8
agriculture	2.2857	1.3000	2.2
ah	2.4000	1.5000	1.4
devant	1.5556	1.6667	1.6
aide	2.2000	1.6250	1.6
aidé	2.5000	1.7273	1.8
sida	1.6250	2.0909	2.4
objectif	2.5714	1.8000	1.8
visé	2.0000	1.6250	2.2
buts	2.4000	1.8750	1.6
ain*t	1.1429	1.5000	1.0
air	2.0000	1.4000	2.4
avion	1.8750	1.7273	2.8
avion	1.5000	1.7778	2.6
avions	1.7143	1.8000	3.0
aéroport	1.6667	1.7778	3.0
mine	1.8000	1.1250	1.0
alarme	1.0000	2.2500	2.6
alarmé	1.0000	2.3750	1.8
alarmant	1.0000	2.5833	2.0
hélas	2.0000	1.2222	1.0
de l'alcool	1.7143	2.2000	3.0
alcoolique	1.0000	2.1667	3.0
alerte	2.0000	2.5000	2.2
extraterrestre	1.4286	1.8000	3.0
aliénation	1.0000	1.7273	2.0
ressemblent	2.2500	1.3636	1.4
vivant	2.6667	2.5000	2.4
tout	2.0000	1.4000	1.2
allégué	1.2000	1.1250	1.2
alliance	2.2000	1.2500	1.6
allié	2.3333	1.4444	1.4
alliés	1.8571	1.6000	2.2
allocation	2.0000	1.4167	1.2
